id,Wellbeing score,BuildingHeights,Integration,Flow,PTAL,Casualty,Fuel,Supermarket,Choice
1,0.134690799,0.388653494,0,180,0.37562,0.443,1.56945,0,0
2,0.134690799,0.388653494,0,180,0.37562,0.443,1.56945,0,0
3,0.134690799,0.388653494,0,180,0.37562,0.443,1.56945,0,0
4,0.134690799,0.388653494,0.001578669,184,0.37542,0.44,1.57993,0,0
5,0.134690799,0.010463942,0,692,0.34858,0.111,2.75711,0,0
6,0.134690799,0.033810115,0,693,0.34853,0.111,2.75972,0,0
7,0.134690799,0.034793497,0.013436887,693,0.34853,0.111,2.75972,0,0
8,0.134690799,0.037516236,0.007390418,693,0.34853,0.111,2.75972,0,0
9,0.134690799,0.035871397,0,693,0.34853,0.111,2.75972,0,0
10,0.134690799,0.037120766,0.00955252,678,0.3387,0.12,2.70046,0,18077
11,0.134690799,0.048015182,0.030422547,463,0.20693,0.252,1.90637,0,37846
12,0.134690799,0.038020176,0.009359151,428,0.18551,0.273,1.77742,0,0
13,0.134690799,0.03629836,0.016721723,705,0.20871,0.293,1.92504,0,0
14,0.134690799,0.042146278,0.009476206,1219,0.25171,0.328,2.19861,0,0
15,0.134690799,0.042146278,0,428,0.18551,0.273,1.77742,0,0
16,0.134690799,0.014953994,0,428,0.18551,0.273,1.77742,0,0
17,0.145098039,0.039084072,0,408,0.17082,0.248,1.87371,0,0
18,0.180794369,0.039084072,0.014821027,337,0.11946,0.156,2.20595,0,0
19,0.180794369,0.031472339,0.009479867,337,0.11932,0.156,2.20623,0,0
20,0.180794369,0.035013987,0,337,0.11932,0.156,2.20623,0,0
21,0.150678733,0.035013987,0.011407413,229,0.09014,0.154,1.54432,0,0
22,0.093011564,0.053509629,0.03300739,52,0.04216,0.153,0.45624,0,536
23,0.091955757,0.038793607,0.021599977,49,0.04171,0.154,0.44419,0,536
24,0.105882353,0.046195363,0,27,0.10163,0.288,1.25509,0,0
25,0.118049271,0.089891968,0,4,0.16963,0.44,2.1753,0,0
26,0.118099548,0.046608322,0,3,0.17133,0.444,2.19835,0,0
27,0.118099548,0.051794802,0.008507301,3,0.17133,0.444,2.19835,0,0
28,0.117998994,0.051794802,0.006628353,3,0.1712,0.444,2.19676,0,0
29,0.099597788,0.02922206,0,37,0.07752,0.234,0.92864,0,0
30,0.09190548,0,0.012614132,49,0.04148,0.153,0.44113,0,5458
31,0.09190548,0,0,49,0.04148,0.153,0.44113,0,0
32,0.09190548,0,0,49,0.04148,0.153,0.44113,0,0
33,0.091955757,0,0.015155757,55,0.04222,0.156,0.44133,0,0
34,0.090799397,0.038006185,0.009270316,435,0.08846,0.333,0.41055,0,0
35,0.090598291,0.037761211,0.011042958,458,0.09129,0.344,0.40869,0,0
36,0.090598291,0.054209561,0.016485137,458,0.09129,0.344,0.40869,0,0
37,0.090598291,0.054209561,0.006061823,458,0.09129,0.344,0.40869,0,0
38,0.090598291,0.054209561,0,458,0.09129,0.344,0.40869,0,0
39,0.101055807,0.037026288,0,574,0.1804,0.256,1.378,0,0
40,0.116138763,0.037026288,0,743,0.30934,0.128,2.7806,0,0
41,0.1173454,0.036291351,0,758,0.32111,0.117,2.90851,0,0
42,0.118099548,0.035976382,0,764,0.32564,0.112,2.95773,0,0
43,0.118099548,0.037726207,0,764,0.32564,0.112,2.95773,0,0
44,0.118099548,0.038741108,0,764,0.32564,0.112,2.95773,0,0
45,0.129311212,0.053929583,0,710,0.30991,0.11,2.84915,0,0
46,0.19899447,0.040630921,0,372,0.20921,0.102,2.15624,0,0
47,0.21835093,0.033946593,0,276,0.18061,0.099,1.95927,0,0
48,0.21835093,0.030901889,0,276,0.18061,0.099,1.95927,0,0
49,0.21835093,0.03713128,0.011211868,276,0.18061,0.099,1.95927,0,0
50,0.22297637,0.055434426,0.009923063,239,0.33051,0.076,2.41725,0,0
51,0.22528909,0.040455935,0.009923063,225,0.39327,0.067,2.60926,0,0
52,0.22528909,0.040910893,0,395,0.551,0.104,3.07564,0,0
53,0.22528909,0.040105969,0,665,0.80249,0.165,3.75616,0,0
54,0.22528909,0.042370246,0,900,1.03693,0.241,4.05255,0,0
55,0.22528909,0.045981882,0.013198825,694,0.86921,0.23,3.00654,0,0
56,0.22528909,0.048757107,0.030802846,537,0.74205,0.222,2.21342,1,0
57,0.22528909,0.034517036,0.0245801,537,0.74205,0.222,2.21342,0,0
58,0.22528909,0.052844694,0,688,0.88024,0.322,3.31925,0,0
59,0.22528909,0.052844694,0.009296983,732,0.92097,0.351,3.64536,0,0
60,0.22528909,0.039791,0.009296983,742,0.92991,0.358,3.71652,0,0
61,0.207340372,0.039791,0,724,0.64766,0.471,2.60473,0,0
62,0.188486677,0.047938192,0,706,0.33208,0.593,1.36261,0,0
63,0.211211664,0.047938192,0,757,0.25748,0.263,1.13835,1,0
64,0.218702866,0.034345548,0,780,0.22471,0.118,1.03979,0,0
65,0.218702866,0.034880993,0,780,0.22471,0.118,1.03979,0,0
